time;r_1_1;r_1_2;r_1_3;r_2_1;r_2_2;r_2_3;r_3_1;r_3_2;r_3_3;r_4_1;r_4_2;r_4_3
4.9999976158142090e+00;-1.4869871139526367e+00;1.4774514436721802e+00;0.0000000000000000e+00;-1.4774514436721802e+00;-1.4869871139526367e+00;0.0000000000000000e+00;1.4869871139526367e+00;-1.4774514436721802e+00;0.0000000000000000e+00;1.4774514436721802e+00;1.4869871139526367e+00;0.0000000000000000e+00;
5.0999975204467773e+00;-1.5304589271545410e+00;1.4601936340332031e+00;0.0000000000000000e+00;-1.4601936340332031e+00;-1.5304589271545410e+00;0.0000000000000000e+00;1.5304589271545410e+00;-1.4601936340332031e+00;0.0000000000000000e+00;1.4601936340332031e+00;1.5304589271545410e+00;0.0000000000000000e+00;
5.1999974250793457e+00;-1.5730212926864624e+00;1.4420684576034546e+00;0.0000000000000000e+00;-1.4420684576034546e+00;-1.5730212926864624e+00;0.0000000000000000e+00;1.5730212926864624e+00;-1.4420684576034546e+00;0.0000000000000000e+00;1.4420684576034546e+00;1.5730212926864624e+00;0.0000000000000000e+00;
5.2999973297119141e+00;-1.6146733760833740e+00;1.4231089353561401e+00;0.0000000000000000e+00;-1.4231089353561401e+00;-1.6146733760833740e+00;0.0000000000000000e+00;1.6146733760833740e+00;-1.4231089353561401e+00;0.0000000000000000e+00;1.4231089353561401e+00;1.6146733760833740e+00;0.0000000000000000e+00;
5.3999972343444824e+00;-1.6554147005081177e+00;1.4033468961715698e+00;0.0000000000000000e+00;-1.4033468961715698e+00;-1.6554147005081177e+00;0.0000000000000000e+00;1.6554147005081177e+00;-1.4033468961715698e+00;0.0000000000000000e+00;1.4033468961715698e+00;1.6554147005081177e+00;0.0000000000000000e+00;
5.4999971389770508e+00;-1.6952451467514038e+00;1.3828128576278687e+00;0.0000000000000000e+00;-1.3828128576278687e+00;-1.6952451467514038e+00;0.0000000000000000e+00;1.6952451467514038e+00;-1.3828128576278687e+00;0.0000000000000000e+00;1.3828128576278687e+00;1.6952451467514038e+00;0.0000000000000000e+00;
5.5999970436096191e+00;-1.7341650724411011e+00;1.3615362644195557e+00;0.0000000000000000e+00;-1.3615362644195557e+00;-1.7341650724411011e+00;0.0000000000000000e+00;1.7341650724411011e+00;-1.3615362644195557e+00;0.0000000000000000e+00;1.3615362644195557e+00;1.7341650724411011e+00;0.0000000000000000e+00;
5.6999969482421875e+00;-1.7721750736236572e+00;1.3395454883575439e+00;0.0000000000000000e+00;-1.3395453691482544e+00;-1.7721750736236572e+00;0.0000000000000000e+00;1.7721750736236572e+00;-1.3395454883575439e+00;0.0000000000000000e+00;1.3395453691482544e+00;1.7721750736236572e+00;0.0000000000000000e+00;
5.7999968528747559e+00;-1.8092759847640991e+00;1.3168675899505615e+00;0.0000000000000000e+00;-1.3168674707412720e+00;-1.8092759847640991e+00;0.0000000000000000e+00;1.8092759847640991e+00;-1.3168675899505615e+00;0.0000000000000000e+00;1.3168674707412720e+00;1.8092759847640991e+00;0.0000000000000000e+00;
5.8999967575073242e+00;-1.8454688787460327e+00;1.2935290336608887e+00;0.0000000000000000e+00;-1.2935289144515991e+00;-1.8454688787460327e+00;0.0000000000000000e+00;1.8454688787460327e+00;-1.2935290336608887e+00;0.0000000000000000e+00;1.2935289144515991e+00;1.8454688787460327e+00;0.0000000000000000e+00;
5.9999966621398926e+00;-1.8807549476623535e+00;1.2695549726486206e+00;0.0000000000000000e+00;-1.2695548534393311e+00;-1.8807549476623535e+00;0.0000000000000000e+00;1.8807549476623535e+00;-1.2695549726486206e+00;0.0000000000000000e+00;1.2695548534393311e+00;1.8807549476623535e+00;0.0000000000000000e+00;
6.0999965667724609e+00;-1.9151357412338257e+00;1.2449699640274048e+00;0.0000000000000000e+00;-1.2449698448181152e+00;-1.9151357412338257e+00;0.0000000000000000e+00;1.9151357412338257e+00;-1.2449699640274048e+00;0.0000000000000000e+00;1.2449698448181152e+00;1.9151357412338257e+00;0.0000000000000000e+00;
6.1999964714050293e+00;-1.9486129283905029e+00;1.2197976112365723e+00;0.0000000000000000e+00;-1.2197974920272827e+00;-1.9486129283905029e+00;0.0000000000000000e+00;1.9486129283905029e+00;-1.2197976112365723e+00;0.0000000000000000e+00;1.2197974920272827e+00;1.9486129283905029e+00;0.0000000000000000e+00;
6.2999963760375977e+00;-1.9811881780624390e+00;1.1940608024597168e+00;0.0000000000000000e+00;-1.1940606832504272e+00;-1.9811881780624390e+00;0.0000000000000000e+00;1.9811881780624390e+00;-1.1940608024597168e+00;0.0000000000000000e+00;1.1940606832504272e+00;1.9811881780624390e+00;0.0000000000000000e+00;
6.3999962806701660e+00;-2.0128631591796875e+00;1.1677815914154053e+00;0.0000000000000000e+00;-1.1677814722061157e+00;-2.0128631591796875e+00;0.0000000000000000e+00;2.0128631591796875e+00;-1.1677815914154053e+00;0.0000000000000000e+00;1.1677814722061157e+00;2.0128631591796875e+00;0.0000000000000000e+00;
